room,day,time,occupied
A-6,Fr,15:40,false
A-6,Sa,15:40,false
A-6,Su,15:40,false
A-10,Mo,08:00,false
A-10,Tu,08:00,true
A-10,We,08:00,true
A-10,Th,08:00,false
A-10,Fr,08:00,true
A-10,Sa,08:00,true
A-10,Su,08:00,false
A-10,Mo,08:20,false
A-10,Tu,08:20,true
A-10,We,08:20,true
A-10,Th,08:20,false
A-10,Fr,08:20,true
A-10,Sa,08:20,true
A-10,Su,08:20,false
A-10,Mo,08:40,false
A-10,Tu,08:40,true
A-10,We,08:40,true
A-10,Th,08:40,false
A-10,Fr,08:40,true
A-10,Sa,08:40,true
A-10,Su,08:40,false
A-10,Mo,09:00,true
A-10,Tu,09:00,true
A-10,We,09:00,true
A-10,Th,09:00,true
A-10,Fr,09:00,true
A-10,Sa,09:00,true
A-10,Su,09:00,false
A-10,Mo,09:20,true
A-10,Tu,09:20,true
A-10,We,09:20,true
A-10,Th,09:20,true
A-10,Fr,09:20,false
A-10,Sa,09:20,true
A-10,Su,09:20,false
A-10,Mo,09:40,true
A-10,Tu,09:40,true
A-10,We,09:40,true
A-10,Th,09:40,true
A-10,Fr,09:40,false
A-10,Sa,09:40,true
A-10,Su,09:40,false
A-10,Mo,10:00,true
A-10,Tu,10:00,true
A-10,We,10:00,true
A-10,Th,10:00,true
A-10,Fr,10:00,true
A-10,Sa,10:00,false
A-10,Su,10:00,false
A-10,Mo,10:20,true
A-10,Tu,10:20,true
A-10,We,10:20,true
A-10,Th,10:20,true
A-10,Fr,10:20,true
A-10,Sa,10:20,false
A-10,Su,10:20,false
A-10,Mo,10:40,true
A-10,Tu,10:40,true
A-10,We,10:40,true
A-10,Th,10:40,true
A-10,Fr,10:40,true
A-10,Sa,10:40,false
A-10,Su,10:40,false
A-10,Mo,11:00,true
A-10,Tu,11:00,true
A-10,We,11:00,false
A-10,Th,11:00,true
A-10,Fr,11:00,true
A-10,Sa,11:00,false
A-10,Su,11:00,false
A-10,Mo,11:20,true
A-10,Tu,11:20,true
A-10,We,11:20,true
A-10,Th,11:20,true
A-10,Fr,11:20,true
A-10,Sa,11:20,false
A-10,Su,11:20,false
A-10,Mo,11:40,true
A-10,Tu,11:40,true
A-10,We,11:40,true
A-10,Th,11:40,true
A-10,Fr,11:40,true
A-10,Sa,11:40,false
A-10,Su,11:40,false
A-10,Mo,12:00,true
A-10,Tu,12:00,true
A-10,We,12:00,true
A-10,Th,12:00,true
A-10,Fr,12:00,true
A-10,Sa,12:00,false
